onset	duration	sample	value
1002,62	4	250655	200
1006,62	4	251655	201
101,132	1,024	25283	203
1010,62	2	252655	202
1012,62	1,024	253155	203
1013,644	4	253411	1
1017,644	4	254411	200
102,156	4	25539	1
1021,644	4	255411	201
1025,644	2	256411	202
1027,644	1,008	256911	203
1028,652	4,016	257163	2
1032,668	4	258167	200
1036,668	4	259167	201
1040,668	2	260167	202
1042,668	1,008	260667	203
1043,676	4	260919	2
1047,676	4,016	261919	200
1051,692	4	262923	201
1055,692	2	263923	202
1057,692	1,024	264423	203
1058,716	4,016	264679	1
106,156	4,016	26539	200
1062,732	4	265683	200
1066,732	3,984	266683	201
1070,716	2,016	267679	202
1072,732	1,008	268183	203
1073,74	4	268435	1
1077,74	4	269435	200
1081,74	4,016	270435	201
1085,756	2	271439	202
1087,756	0,992	271939	203
1088,748	4,016	272187	1
1092,764	4	273191	200
1096,764	4	274191	201
11,004	1,008	2751	203
110,172	3,984	27543	201
1100,764	2,016	275191	202
1102,78	0,992	275695	203
1103,772	4,016	275943	2
1107,788	4	276947	200
1111,788	4	277947	201
1115,788	2,016	278947	202
1117,804	0,992	279451	203
1118,796	4,016	279699	1
1122,812	4	280703	200
1126,812	4	281703	201
1130,812	2,016	282703	202
1132,828	1,008	283207	203
1133,836	4	283459	2
1137,836	4,016	284459	200
114,156	2,016	28539	202
1141,852	4	285463	201
1145,852	1,984	286463	202
1147,836	1,008	286959	203
1148,844	4,016	287211	2
1152,86	4	288215	200
1156,86	4	289215	201
116,172	1,024	29043	203
1160,86	2	290215	202
1162,86	1,008	290715	203
1163,868	4,016	290967	1
1167,884	4	291971	200
117,196	4	29299	2
1171,884	4	292971	201
1175,884	2,016	293971	202
1177,9	1,008	294475	203
1178,908	4	294727	1
1182,908	4	295727	200
1186,908	4	296727	201
1190,908	2,016	297727	202
1192,924	1,008	298231	203
1193,932	4	298483	1
1197,932	4,016	299483	200
12,012	4,016	3003	2
1201,948	4	300487	201
1205,948	2,016	301487	202
1207,964	0,992	301991	203
1208,956	4	302239	2
121,196	4	30299	200
1212,956	4	303239	200
1216,956	4	304239	201
1220,956	2,016	305239	202
1222,972	0,992	305743	203
1223,964	4,016	305991	2
1227,98	4	306995	200
1231,98	4	307995	201
1235,98	2	308995	202
1237,98	1,024	309495	203
1239,004	4	309751	1
1243,004	4	310751	200
1247,004	4	311751	201
125,196	4	31299	201
1251,004	2,016	312751	202
1253,02	1,008	313255	203
1254,028	4	313507	2
1258,028	4	314507	200
1262,028	4	315507	201
1266,028	2,016	316507	202
1268,044	0,992	317011	203
1269,036	4,016	317259	2
1273,052	4	318263	200
1277,052	4	319263	201
1281,052	2,016	320263	202
1283,068	1,008	320767	203
1284,076	4	321019	1
1288,076	4,016	322019	200
129,196	2	32299	202
1292,092	3,984	323023	201
1296,076	2,016	324019	202
1298,092	1,008	324523	203
1299,1	4	324775	1
1303,1	4,016	325775	200
1307,116	4	326779	201
131,196	1,024	32799	203
1311,116	2	327779	202
1313,116	0,992	328279	203
1314,108	4,016	328527	2
1318,124	4	329531	200
132,22	3,984	33055	1
1322,124	4	330531	201
1326,124	2	331531	202
1328,124	1,008	332031	203
1329,132	4,016	332283	1
1333,148	4	333287	200
1337,148	4,016	334287	201
1341,164	2	335291	202
1343,164	1,008	335791	203
1344,172	4,016	336043	2
1348,188	4	337047	200
1352,188	4	338047	201
1356,188	2	339047	202
1358,188	1,008	339547	203
1359,196	4,016	339799	2
136,204	4,016	34051	200
1363,212	8,976	340803	200
1372,188	4,016	343047	201
1376,204	0,992	344051	202
1377,196	0,992	344299	203
1378,188	9,392	344547	2
1387,58	1,008	346895	102
1388,588	4	347147	200
1392,588	4,016	348147	201
1396,604	0,992	349151	202
1397,596	1,008	349399	203
1398,604	3,6	349651	1
140,22	4	35055	201
1402,204	0,992	350551	101
1403,196	4	350799	200
1407,196	4	351799	201
1411,196	1,024	352799	202
1412,22	0,992	353055	203
1413,212	7,776	353303	2
1420,988	1,024	355247	102
1422,012	3,984	355503	200
1425,996	4	356499	201
1429,996	1,008	357499	202
1431,004	1,008	357751	203
1432,012	3,552	358003	1
1435,564	1,008	358891	101
1436,572	4	359143	200
144,22	2	36055	202
1440,572	4	360143	201
1444,572	1,008	361143	202
1445,58	0,992	361395	203
1446,572	3,616	361643	2
1450,188	1,008	362547	102
1451,196	4	362799	200
1455,196	4	363799	201
1459,196	1,008	364799	202
146,22	1,008	36555	203
1460,204	0,992	365051	203
1461,196	3,6	365299	2
1464,796	0,992	366199	102
1465,788	4,016	366447	200
1469,804	3,984	367451	201
147,228	4,016	36807	2
1473,788	1,024	368447	202
1474,812	0,992	368703	203
1475,804	3,616	368951	1
1479,42	1,008	369855	101
1480,428	4	370107	200
1484,428	4	371107	201
1488,428	1,008	372107	202
1489,436	1,008	372359	203
1490,444	3,616	372611	1
1494,06	0,992	373515	101
1495,052	4	373763	200
1499,052	4	374763	201
1503,052	1,024	375763	202
1504,076	0,992	376019	203
1505,068	3,472	376267	2
1508,54	1,008	377135	102
1509,548	3,984	377387	200
151,244	4	37811	200
1513,532	4,016	378383	201
1517,548	1,008	379387	202
1518,556	0,992	379639	203
1519,548	8,352	379887	1
1527,9	1,008	381975	101
1528,908	3,984	382227	200
1532,892	4,016	383223	201
1536,908	0,992	384227	202
1537,9	1,008	384475	203
1538,908	3,6	384727	2
1542,508	1,008	385627	102
1543,516	4	385879	200
1547,516	4	386879	201
155,244	4	38811	201
1551,516	0,992	387879	202
1552,508	1,024	388127	203
1553,532	10,704	388383	2
1564,236	1,008	391059	102
1565,244	4	391311	200
1569,244	4	392311	201
1573,244	1,008	393311	202
1574,252	0,992	393563	203
1575,244	3,584	393811	2
1578,828	0,992	394707	102
1579,82	4	394955	200
1583,82	4,016	395955	201
1587,836	0,992	396959	202
1588,828	1,008	397207	203
1589,836	3,552	397459	1
159,244	2	39811	202
1593,388	1,008	398347	101
1594,396	4	398599	200
1598,396	4	399599	201
16,028	3,984	4007	200
1602,396	1,008	400599	202
1603,404	0,992	400851	203
1604,396	9,744	401099	1
161,244	1,008	40311	203
1614,14	1,008	403535	101
1615,148	4	403787	200
1619,148	4	404787	201
162,252	4,016	40563	1
1623,148	1,008	405787	202
1624,156	0,992	406039	203
1625,148	3,632	406287	1
1628,78	1,008	407195	101
1629,788	4	407447	200
1633,788	4	408447	201
1637,788	1,008	409447	202
1638,796	0,992	409699	203
1639,788	14,256	409947	2
1654,044	1,008	413511	102
1655,052	4	413763	200
1659,052	4	414763	201
166,268	4	41567	200
1663,052	0,992	415763	202
1664,044	1,024	416011	203
1665,068	3,68	416267	1
1668,748	0,992	417187	101
1669,74	4	417435	200
1673,74	4,016	418435	201
1677,756	0,992	419439	202
1678,748	1,008	419687	203
1679,756	3,68	419939	2
1683,436	1,008	420859	102
1684,444	4	421111	200
1688,444	4	422111	201
1692,444	1,008	423111	202
1693,452	1,008	423363	203
1694,46	3,696	423615	2
1698,156	1,008	424539	102
1699,164	4	424791	200
170,268	4	42567	201
1703,164	4	425791	201
1707,164	0,992	426791	202
1708,156	1,008	427039	203
1709,164	3,648	427291	1
1712,812	1,008	428203	101
1713,82	4	428455	200
1717,82	4	429455	201
1721,82	1,008	430455	202
1722,828	0,992	430707	203
1723,82	3,616	430955	2
1727,436	1,008	431859	102
1728,444	4	432111	200
1732,444	3,984	433111	201
1736,428	1,008	434107	202
1737,436	0,992	434359	203
1738,428	9,68	434607	2
174,268	2	43567	202
1748,108	1,008	437027	102
1749,116	4	437279	200
1753,116	4	438279	201
1757,116	0,992	439279	202
1758,108	1,008	439527	203
1759,116	3,664	439779	1
176,268	1,008	44067	203
1762,78	1,008	440695	101
1763,788	4	440947	200
1767,788	4	441947	201
177,276	4,016	44319	2
1771,788	0,992	442947	202
1772,78	1,008	443195	203
1773,788	3,728	443447	1
1777,516	1,008	444379	101
1778,524	3,984	444631	200
1782,508	4	445627	201
1786,508	1,008	446627	202
1787,516	1,008	446879	203
1788,524	3,616	447131	1
1792,14	0,992	448035	101
1793,132	4,016	448283	200
1797,148	3,984	449287	201
1801,132	1,008	450283	202
1802,14	1,008	450535	203
1803,148	3,632	450787	2
1806,78	0,992	451695	102
1807,772	4	451943	200
181,292	4	45323	200
1811,772	4	452943	201
1815,772	1,008	453943	202
1816,78	0,992	454195	203
1817,772	3,6	454443	1
1821,372	1,008	455343	101
1822,38	4	455595	200
1826,38	4,016	456595	201
1830,396	0,992	457599	202
1831,388	0,992	457847	203
1832,38	3,728	458095	2
1836,108	1,008	459027	102
1837,116	4	459279	200
1841,116	4	460279	201
1845,116	0,992	461279	202
1846,108	1,008	461527	203
1847,116	3,632	461779	1
185,292	4	46323	201
1850,748	1,008	462687	101
1851,756	8,964	462939	200
1860,72	4	465180	201
1864,72	2	466180	202
1866,72	1,008	466680	203
1867,728	4,016	466932	3
1871,744	4	467936	200
1875,744	4	468936	201
1879,744	2	469936	202
1881,744	1,024	470436	203
1882,768	4	470692	4
1886,768	4	471692	200
189,292	2	47323	202
1890,768	4,008	472692	201
1894,776	2,016	473694	202
1896,792	0,992	474198	203
1897,784	4,016	474446	3
1901,8	4	475450	200
1905,8	4	476450	201
1909,8	2	477450	202
191,292	1,008	47823	203
1911,8	1,008	477950	203
1912,808	4,016	478202	3
1916,824	4	479206	200
192,3	4,016	48075	1
1920,824	4	480206	201
1924,824	2	481206	202
1926,824	1,024	481706	203
1927,848	4	481962	4
1931,848	4	482962	200
1935,848	4	483962	201
1939,848	2,016	484962	202
1941,864	0,992	485466	203
1942,856	4,016	485714	4
1946,872	4	486718	200
1950,872	4	487718	201
1954,872	2	488718	202
1956,872	1,008	489218	203
1957,88	4,016	489470	4
196,316	4	49079	200
1961,896	4	490474	200
1965,896	4	491474	201
1969,896	2,016	492474	202
1971,912	0,992	492978	203
1972,904	4,016	493226	3
1976,92	4	494230	200
1980,92	4	495230	201
1984,92	2,016	496230	202
1986,936	0,992	496734	203
1987,928	4,032	496982	3
1991,96	4	497990	200
1995,96	4	498990	201
1999,96	2	499990	202
20,012	4	5003	201
200,316	4	50079	201
2001,96	0,992	500490	203
2002,952	4,016	500738	4
2006,968	4,016	501742	200
2010,984	4	502746	201
2014,984	2	503746	202
2016,984	1,008	504246	203
2017,992	4	504498	4
2021,992	4,016	505498	200
2026,008	3,984	506502	201
2029,992	2	507498	202
2031,992	1,024	507998	203
2033,016	4	508254	3
2037,016	4	509254	200
204,316	2	51079	202
2041,016	4	510254	201
2045,016	2,016	511254	202
2047,032	1,008	511758	203
2048,04	4,016	512010	3
2052,056	4	513014	200
2056,056	3,984	514014	201
206,316	1,008	51579	203
2060,04	2,032	515010	202
2062,072	0,992	515518	203
2063,064	3,984	515766	4
2067,048	4,032	516762	200
207,324	4	51831	1
2071,08	4	517770	201
2075,08	2	518770	202
2077,08	1,008	519270	203
2078,088	4,016	519522	4
2082,104	3,984	520526	200
2086,088	4,016	521522	201
2090,104	2	522526	202
2092,104	1,008	523026	203
2093,112	4	523278	4
2097,112	4,016	524278	200
2101,128	3,984	525282	201
2105,112	2,016	526278	202
2107,128	1,008	526782	203
2108,136	4	527034	3
211,324	4	52831	200
2112,136	4,016	528034	200
