onset	duration	sample	value
1002,604	3,984	250651	200
1006,588	4,016	251647	201
101,164	1,008	25291	203
1010,604	2	252651	202
1012,604	1,024	253151	203
1013,628	4	253407	1
1017,628	4	254407	200
102,172	4	25543	1
1021,628	4	255407	201
1025,628	2	256407	202
1027,628	1,008	256907	203
1028,636	4	257159	1
1032,636	4,016	258159	200
1036,652	4	259163	201
1040,652	2	260163	202
1042,652	1,008	260663	203
1043,66	4,016	260915	2
1047,676	4	261919	200
1051,676	4,016	262919	201
1055,692	2	263923	202
1057,692	1,008	264423	203
1058,7	4	264675	1
106,172	4,016	26543	200
1062,7	4,016	265675	200
1066,716	3,984	266679	201
1070,7	2,016	267675	202
1072,716	1,024	268179	203
1073,74	4	268435	1
1077,74	3,984	269435	200
1081,724	4,016	270431	201
1085,74	2	271435	202
1087,74	1,008	271935	203
1088,748	4,016	272187	2
1092,764	4	273191	200
1096,764	4	274191	201
11,02	1,008	2755	203
110,188	3,984	27547	201
1100,764	2	275191	202
1102,764	1,008	275691	203
1103,772	4	275943	1
1107,772	4,016	276943	200
1111,788	4	277947	201
1115,788	2	278947	202
1117,788	1,008	279447	203
1118,796	4	279699	1
1122,796	4,016	280699	200
1126,812	4	281703	201
1130,812	2,016	282703	202
1132,828	0,992	283207	203
1133,82	4,016	283455	2
1137,836	3,984	284459	200
114,172	2,016	28543	202
1141,82	4	285455	201
1145,82	2,016	286455	202
1147,836	1,008	286959	203
1148,844	4	287211	2
1152,844	4,016	288211	200
1156,86	4	289215	201
116,188	1,008	29047	203
1160,86	2	290215	202
1162,86	1,008	290715	203
1163,868	4	290967	1
1167,868	4,016	291967	200
117,196	4	29299	2
1171,884	3,984	292971	201
1175,868	2,016	293967	202
1177,884	0,992	294471	203
1178,876	4,016	294719	2
1182,892	4	295723	200
1186,892	4,016	296723	201
1190,908	1,984	297727	202
1192,892	1,024	298223	203
1193,916	4,016	298479	2
1197,932	3,984	299483	200
12,028	4,016	3007	1
1201,916	4,016	300479	201
1205,932	1,984	301483	202
1207,916	1,024	301979	203
1208,94	4	302235	2
121,196	4	30299	200
1212,94	4	303235	200
1216,94	4	304235	201
1220,94	2,016	305235	202
1222,956	1,008	305739	203
1223,964	4	305991	1
1227,964	4	306991	200
1231,964	4,016	307991	201
1235,98	2	308995	202
1237,98	1,008	309495	203
1238,988	4,016	309747	1
1243,004	4	310751	200
1247,004	4	311751	201
125,196	4	31299	201
1251,004	2	312751	202
1253,004	0,992	313251	203
1253,996	4,016	313499	2
1258,012	4	314503	200
1262,012	4	315503	201
1266,012	2,016	316503	202
1268,028	1,008	317007	203
1269,036	4	317259	2
1273,036	4	318259	200
1277,036	4	319259	201
1281,036	2,016	320259	202
1283,052	1,008	320763	203
1284,06	4	321015	2
1288,06	4,016	322015	200
129,196	2	32299	202
1292,076	4	323019	201
1296,076	2	324019	202
1298,076	1,008	324519	203
1299,084	4,016	324771	1
1303,1	4	325775	200
1307,1	4	326775	201
131,196	1,008	32799	203
1311,1	2	327775	202
1313,1	1,008	328275	203
1314,108	4,016	328527	2
1318,124	3,984	329531	200
132,204	4	33051	2
1322,108	4,016	330527	201
1326,124	2	331531	202
1328,124	1,008	332031	203
1329,132	4,016	332283	1
