onset	duration	sample	value
1002,588	4	250647	200
1006,588	4	251647	201
101,148	1,008	25287	203
1010,588	2	252647	202
1012,588	1,008	253147	203
1013,596	4	253399	1
1017,596	4,016	254399	200
102,156	4	25539	1
1021,612	4	255403	201
1025,612	2	256403	202
1027,612	1,008	256903	203
1028,62	4,016	257155	1
1032,636	3,984	258159	200
1036,62	4,016	259155	201
1040,636	2,016	260159	202
1042,652	0,992	260663	203
1043,644	4,016	260911	1
1047,66	4	261915	200
1051,66	4	262915	201
1055,66	2,016	263915	202
1057,676	0,992	264419	203
1058,668	4,016	264667	2
106,156	4	26539	200
1062,684	4	265671	200
1066,684	4,016	266671	201
1070,7	1,984	267675	202
1072,684	1,008	268171	203
1073,692	4,016	268423	2
1077,708	4	269427	200
1081,708	4	270427	201
1085,708	2	271427	202
1087,708	1,024	271927	203
1088,732	4	272183	1
1092,732	4	273183	200
1096,732	4	274183	201
11,004	1,008	2751	203
110,156	4	27539	201
1100,732	2	275183	202
1102,732	1,008	275683	203
1103,74	4,016	275935	1
1107,756	4	276939	200
1111,756	4	277939	201
1115,756	2	278939	202
1117,756	1,008	279439	203
1118,764	4	279691	1
1122,764	4,016	280691	200
1126,78	4	281695	201
1130,78	2	282695	202
1132,78	0,992	283195	203
1133,772	4,016	283443	2
1137,788	4	284447	200
114,156	2,016	28539	202
1141,788	4,016	285447	201
1145,804	2	286451	202
1147,804	1,008	286951	203
1148,812	4	287203	2
1152,812	4,016	288203	200
1156,828	3,984	289207	201
116,172	1,008	29043	203
1160,812	2,016	290203	202
1162,828	0,992	290707	203
1163,82	4,016	290955	2
1167,836	4	291959	200
117,18	4	29295	2
1171,836	4,016	292959	201
1175,852	1,984	293963	202
1177,836	1,008	294459	203
1178,844	4,016	294711	1
1182,86	4	295715	200
1186,86	4	296715	201
1190,86	2,016	297715	202
1192,876	1,008	298219	203
1193,884	4	298471	2
1197,884	4	299471	200
12,012	4	3003	1
1201,884	4	300471	201
1205,884	2	301471	202
1207,884	1,008	301971	203
1208,892	4	302223	1
121,18	4,016	30295	200
1212,892	4	303223	200
1216,892	4,016	304223	201
1220,908	2,016	305227	202
1222,924	0,992	305731	203
1223,916	4	305979	1
1227,916	4,016	306979	200
1231,932	4	307983	201
1235,932	2	308983	202
1237,932	1,008	309483	203
1238,94	4	309735	2
1242,94	4,016	310735	200
1246,956	4	311739	201
125,196	4	31299	201
1250,956	2,016	312739	202
1252,972	0,992	313243	203
1253,964	4,016	313491	2
1257,98	4	314495	200
1261,98	4	315495	201
1265,98	2,016	316495	202
1267,996	0,992	316999	203
1268,988	4	317247	1
1272,988	4	318247	200
1276,988	4	319247	201
1280,988	2,016	320247	202
1283,004	0,992	320751	203
1283,996	4,016	320999	2
1288,012	4	322003	200
129,196	2	32299	202
1292,012	4,016	323003	201
1296,028	2	324007	202
1298,028	0,992	324507	203
1299,02	4,016	324755	1
1303,036	4	325759	200
1307,036	4	326759	201
131,196	1,008	32799	203
1311,036	2	327759	202
1313,036	1,008	328259	203
1314,044	4,016	328511	2
1318,06	4	329515	200
132,204	4,016	33051	1
1322,06	4	330515	201
1326,06	2	331515	202
1328,06	1,024	332015	203
1329,084	4	332271	2
1333,084	4	333271	200
1337,084	4	334271	201
1341,084	2	335271	202
1343,084	1,024	335771	203
1344,108	3,984	336027	1
1348,092	4,016	337023	200
1352,108	4	338027	201
1356,108	2,016	339027	202
1358,124	1,008	339531	203
1359,132	4	339783	1
136,22	4	34055	200
1363,132	8,976	340783	200
1372,108	4	343027	201
1376,108	1,008	344027	202
1377,116	0,992	344279	203
1378,108	3,568	344527	1
1381,676	1,008	345419	101
1382,684	4	345671	200
1386,684	4	346671	201
1390,684	1,008	347671	202
1391,692	0,992	347923	203
1392,684	3,696	348171	1
1396,38	1,008	349095	101
1397,388	4	349347	200
140,22	4,016	35055	201
1401,388	4	350347	201
1405,388	0,992	351347	202
1406,38	1,008	351595	203
1407,388	4,24	351847	2
1411,628	0,992	352907	102
1412,62	4	353155	200
1416,62	4	354155	201
1420,62	1,008	355155	202
1421,628	1,008	355407	203
1422,636	3,664	355659	1
1426,3	1,008	356575	101
1427,308	4	356827	200
1431,308	4	357827	201
1435,308	1,008	358827	202
1436,316	0,992	359079	203
1437,308	3,632	359327	2
144,236	2	36059	202
1440,94	1,008	360235	102
1441,948	4	360487	200
1445,948	4	361487	201
1449,948	0,992	362487	202
1450,94	1,008	362735	203
1451,948	3,696	362987	1
1455,644	0,992	363911	101
1456,636	4,016	364159	200
146,236	1,008	36559	203
1460,652	4	365163	201
1464,652	0,992	366163	202
1465,644	1,008	366411	203
1466,652	3,616	366663	1
147,244	3,984	36811	2
1470,268	1,008	367567	101
1471,276	4	367819	200
1475,276	4	368819	201
1479,276	0,992	369819	202
1480,268	1,008	370067	203
1481,276	3,632	370319	1
1484,908	1,008	371227	101
1485,916	4	371479	200
1489,916	4	372479	201
1493,916	0,992	373479	202
1494,908	1,008	373727	203
1495,916	3,584	373979	2
1499,5	1,008	374875	102
1500,508	4	375127	200
1504,508	4	376127	201
1508,508	0,992	377127	202
1509,5	1,024	377375	203
151,228	4,016	37807	200
1510,524	3,616	377631	1
1514,14	0,992	378535	101
1515,132	4	378783	200
1519,132	4,016	379783	201
1523,148	0,992	380787	202
1524,14	1,008	381035	203
1525,148	3,664	381287	2
1528,812	0,992	382203	102
1529,804	4,016	382451	200
1533,82	3,984	383455	201
1537,804	1,008	384451	202
1538,812	1,008	384703	203
1539,82	3,92	384955	1
1543,74	0,992	385935	101
1544,732	4	386183	200
1548,732	4,016	387183	201
155,244	4	38811	201
1552,748	0,992	388187	202
1553,74	0,992	388435	203
1554,732	3,52	388683	2
1558,252	1,008	389563	102
1559,26	4	389815	200
1563,26	4	390815	201
1567,26	1,008	391815	202
1568,268	0,992	392067	203
1569,26	3,6	392315	2
1572,86	1,008	393215	102
1573,868	4	393467	200
1577,868	4	394467	201
1581,868	1,008	395467	202
1582,876	1,008	395719	203
1583,884	3,552	395971	2
1587,436	0,992	396859	102
1588,428	4	397107	200
159,244	2,016	39811	202
1592,428	4,016	398107	201
1596,444	0,992	399111	202
1597,436	1,008	399359	203
1598,444	3,584	399611	2
16,012	4,016	4003	200
1602,028	1,008	400507	102
1603,036	4	400759	200
1607,036	4	401759	201
161,26	0,992	40315	203
1611,036	0,992	402759	202
1612,028	1,008	403007	203
1613,036	3,584	403259	2
1616,62	1,008	404155	102
1617,628	4	404407	200
162,252	4,016	40563	2
1621,628	3,984	405407	201
1625,612	1,008	406403	202
1626,62	1,008	406655	203
1627,628	3,664	406907	1
1631,292	1,008	407823	101
1632,3	4	408075	200
1636,3	4	409075	201
1640,3	1,008	410075	202
1641,308	1,008	410327	203
1642,316	3,664	410579	2
1645,98	0,992	411495	102
1646,972	4	411743	200
1650,972	4,016	412743	201
1654,988	0,992	413747	202
1655,98	0,992	413995	203
1656,972	3,584	414243	1
166,268	4	41567	200
1660,556	1,008	415139	101
1661,564	4	415391	200
1665,564	4	416391	201
1669,564	1,008	417391	202
1670,572	1,008	417643	203
1671,58	3,616	417895	2
1675,196	0,992	418799	102
1676,188	4,016	419047	200
1680,204	3,984	420051	201
1684,188	1,008	421047	202
1685,196	1,008	421299	203
1686,204	3,584	421551	1
1689,788	1,008	422447	101
1690,796	4	422699	200
1694,796	4	423699	201
1698,796	1,008	424699	202
1699,804	0,992	424951	203
170,268	4	42567	201
1700,796	3,664	425199	2
1704,46	1,008	426115	102
1705,468	4	426367	200
1709,468	4	427367	201
1713,468	1,008	428367	202
1714,476	1,008	428619	203
1715,484	3,504	428871	1
1718,988	1,008	429747	101
1719,996	4,016	429999	200
1724,012	3,984	431003	201
1727,996	1,008	431999	202
1729,004	0,992	432251	203
1729,996	3,632	432499	1
1733,628	1,008	433407	101
1734,636	4	433659	200
1738,636	4	434659	201
174,268	2	43567	202
1742,636	0,992	435659	202
1743,628	1,024	435907	203
1744,652	3,808	436163	1
1748,46	1,024	437115	101
1749,484	4	437371	200
1753,484	4	438371	201
1757,484	0,992	439371	202
1758,476	1,008	439619	203
1759,484	4,176	439871	2
176,268	1,024	44067	203
1763,66	1,008	440915	102
1764,668	3,984	441167	200
1768,652	4,016	442163	201
177,292	4	44323	1
1772,668	0,992	443167	202
1773,66	1,008	443415	203
1774,668	5,92	443667	2
1780,588	0,992	445147	102
1781,58	4,016	445395	200
1785,596	4	446399	201
1789,596	0,992	447399	202
1790,588	1,008	447647	203
1791,596	3,616	447899	1
1795,212	0,992	448803	101
1796,204	4	449051	200
1800,204	4,016	450051	201
1804,22	0,992	451055	202
1805,212	1,008	451303	203
1806,22	3,536	451555	2
1809,756	0,992	452439	102
181,292	4	45323	200
1810,748	8,976	452687	200
1819,724	4	454931	201
1823,724	2	455931	202
1825,724	1,024	456431	203
1826,748	4	456687	3
1830,748	4	457687	200
1834,748	4	458687	201
1838,748	2,016	459687	202
1840,764	1,008	460191	203
1841,772	4	460443	3
1845,772	4	461443	200
1849,772	4	462443	201
185,292	4	46323	201
1853,772	2	463443	202
1855,772	1,024	463943	203
1856,796	4	464199	3
1860,796	4	465199	200
1864,796	4	466199	201
1868,796	2,016	467199	202
1870,812	0,992	467703	203
1871,804	4,016	467951	4
1875,82	4	468955	200
1879,82	3,984	469955	201
1883,804	2,016	470951	202
1885,82	1,008	471455	203
1886,828	4,016	471707	3
189,292	2,016	47323	202
1890,844	4	472711	200
1894,844	4	473711	201
1898,844	2	474711	202
1900,844	1,008	475211	203
1901,852	4,016	475463	4
1905,868	4	476467	200
1909,868	4	477467	201
191,308	0,992	47827	203
1913,868	2,016	478467	202
1915,884	0,992	478971	203
1916,876	4,032	479219	3
192,3	4,016	48075	1
1920,908	3,984	480227	200
1924,892	4	481223	201
1928,892	2,016	482223	202
1930,908	0,992	482727	203
1931,9	4	482975	3
1935,9	4,016	483975	200
1939,916	4	484979	201
1943,916	2	485979	202
1945,916	1,024	486479	203
1946,94	4	486735	3
1950,94	4	487735	200
1954,94	4	488735	201
1958,94	2,016	489735	202
196,316	4	49079	200
1960,956	1,008	490239	203
1961,964	3,984	490491	4
1965,948	4,016	491487	200
1969,964	4	492491	201
1973,964	2	493491	202
1975,964	1,008	493991	203
1976,972	4,016	494243	3
1980,988	4	495247	200
1984,988	4	496247	201
1988,988	2	497247	202
1990,988	1,008	497747	203
1991,996	4	497999	3
1995,996	4	498999	200
1999,996	4,016	499999	201
20,028	4	5007	201
200,316	4	50079	201
2004,012	2	501003	202
2006,012	1,008	501503	203
