onset	duration	sample	value
1002,636	4	250659	200
1006,636	4	251659	201
101,164	1,008	25291	203
1010,636	2,016	252659	202
1012,652	0,992	253163	203
1013,644	4,016	253411	2
1017,66	4	254415	200
102,172	4	25543	2
1021,66	4	255415	201
1025,66	2	256415	202
1027,66	1,008	256915	203
1028,668	4,016	257167	1
1032,684	4	258171	200
1036,684	4	259171	201
1040,684	2	260171	202
1042,684	1,008	260671	203
1043,692	4,016	260923	2
1047,708	4	261927	200
1051,708	4	262927	201
1055,708	2,016	263927	202
1057,724	0,992	264431	203
1058,716	4,016	264679	1
106,172	4	26543	200
1062,732	4	265683	200
1066,732	4,016	266683	201
1070,748	2	267687	202
1072,748	0,992	268187	203
1073,74	4	268435	2
1077,74	4,016	269435	200
1081,756	4,016	270439	201
1085,772	2	271443	202
1087,772	1,008	271943	203
1088,78	4	272195	1
1092,78	4	273195	200
1096,78	4,016	274195	201
11,004	1,008	2751	203
110,172	4	27543	201
1100,796	2	275199	202
1102,796	1,008	275699	203
1103,804	4,016	275951	2
1107,82	3,984	276955	200
1111,804	4,016	277951	201
1115,82	2	278955	202
1117,82	1,008	279455	203
1118,828	4,016	279707	1
1122,844	4	280711	200
1126,844	4	281711	201
1130,844	2	282711	202
1132,844	1,008	283211	203
1133,852	4,016	283463	1
1137,868	4	284467	200
114,172	2,016	28543	202
1141,868	4	285467	201
1145,868	2,016	286467	202
1147,884	1,008	286971	203
1148,892	4	287223	2
1152,892	4	288223	200
1156,892	4	289223	201
116,188	0,992	29047	203
1160,892	2,016	290223	202
1162,908	1,008	290727	203
1163,916	4	290979	2
1167,916	4	291979	200
117,18	4,016	29295	1
1171,916	4,016	292979	201
1175,932	2	293983	202
1177,932	1,008	294483	203
1178,94	4	294735	1
1182,94	4,016	295735	200
1186,956	4	296739	201
1190,956	2	297739	202
1192,956	1,008	298239	203
1193,964	4	298491	1
1197,964	4,016	299491	200
12,012	4	3003	1
1201,98	4	300495	201
1205,98	2	301495	202
1207,98	1,008	301995	203
1208,988	4	302247	2
121,196	4,016	30299	200
1212,988	4,016	303247	200
1217,004	4	304251	201
1221,004	2,016	305251	202
1223,02	0,992	305755	203
1224,012	4	306003	1
1228,012	4,016	307003	200
1232,028	4	308007	201
1236,028	2	309007	202
1238,028	1,008	309507	203
1239,036	4,016	309759	1
1243,052	4	310763	200
1247,052	4	311763	201
125,212	3,984	31303	201
1251,052	2,016	312763	202
1253,068	1,008	313267	203
1254,076	4	313519	2
1258,076	4	314519	200
1262,076	4	315519	201
1266,076	2	316519	202
1268,076	1,008	317019	203
1269,084	4,016	317271	2
1273,1	4	318275	200
1277,1	4,016	319275	201
1281,116	1,984	320279	202
1283,1	1,008	320775	203
1284,108	4,032	321027	1
1288,14	4	322035	200
129,196	2,016	32299	202
1292,14	3,984	323035	201
1296,124	2,016	324031	202
1298,14	1,008	324535	203
1299,148	4	324787	2
1303,148	4,016	325787	200
1307,164	3,984	326791	201
131,212	1,008	32803	203
1311,148	2,016	327787	202
1313,164	1,008	328291	203
1314,172	4	328543	2
1318,172	4,016	329543	200
132,22	4,016	33055	2
1322,188	3,984	330547	201
1326,172	2,016	331543	202
1328,188	0,992	332047	203
1329,18	4,016	332295	2
1333,196	4,016	333299	200
1337,212	3,984	334303	201
1341,196	2,016	335299	202
1343,212	1,008	335803	203
1344,22	4,016	336055	1
1348,236	4	337059	200
1352,236	4	338059	201
1356,236	2,016	339059	202
1358,252	0,992	339563	203
1359,244	4,016	339811	2
136,236	3,984	34059	200
1363,26	8,976	340815	200
1372,236	4,016	343059	201
1376,252	1,008	344063	202
1377,26	0,992	344315	203
1378,252	4,816	344563	2
1383,068	1,008	345767	102
1384,076	3,984	346019	200
1388,06	4	347015	201
1392,06	1,008	348015	202
1393,068	1,008	348267	203
1394,076	6,256	348519	1
140,22	4	35055	201
1400,332	0,992	350083	101
1401,324	4,016	350331	200
1405,34	3,984	351335	201
1409,324	1,008	352331	202
1410,332	1,008	352583	203
1411,34	4,816	352835	1
1416,156	1,008	354039	101
1417,164	4	354291	200
1421,164	4	355291	201
1425,164	1,008	356291	202
1426,172	0,992	356543	203
1427,164	5,088	356791	2
1432,252	0,992	358063	102
1433,244	4,016	358311	200
1437,26	4	359315	201
144,22	2,016	36055	202
1441,26	0,992	360315	202
1442,252	0,992	360563	203
1443,244	3,504	360811	1
1446,748	0,992	361687	101
1447,74	4,016	361935	200
1451,756	4	362939	201
1455,756	0,992	363939	202
1456,748	0,992	364187	203
1457,74	5,536	364435	2
146,236	0,992	36559	203
1463,276	0,992	365819	102
1464,268	4	366067	200
1468,268	4	367067	201
147,228	4,016	36807	2
1472,268	1,008	368067	202
1473,276	1,008	368319	203
1474,284	3,584	368571	1
1477,868	1,008	369467	101
1478,876	4	369719	200
1482,876	4	370719	201
1486,876	0,992	371719	202
1487,868	1,008	371967	203
1488,876	3,616	372219	2
1492,492	0,992	373123	102
1493,484	4	373371	200
1497,484	4,016	374371	201
1501,5	0,992	375375	202
1502,492	0,992	375623	203
1503,484	3,488	375871	1
1506,972	1,008	376743	101
1507,98	4	376995	200
151,244	4	37811	200
1511,98	4	377995	201
1515,98	0,992	378995	202
1516,972	1,024	379243	203
1517,996	5,568	379499	2
1523,564	0,992	380891	102
1524,556	4,016	381139	200
1528,572	4	382143	201
1532,572	0,992	383143	202
1533,564	1,008	383391	203
1534,572	3,552	383643	2
1538,124	0,992	384531	102
1539,116	4	384779	200
1543,116	4	385779	201
1547,116	0,992	386779	202
1548,108	1,008	387027	203
1549,116	3,568	387279	2
155,244	4	38811	201
1552,684	0,992	388171	102
1553,676	4	388419	200
1557,676	4	389419	201
1561,676	1,024	390419	202
1562,7	0,992	390675	203
1563,692	3,568	390923	1
1567,26	0,992	391815	101
1568,252	4	392063	200
1572,252	4,016	393063	201
1576,268	0,992	394067	202
1577,26	0,992	394315	203
1578,252	6,096	394563	2
1584,348	0,992	396087	102
1585,34	4,016	396335	200
1589,356	4	397339	201
159,244	2	39811	202
1593,356	0,992	398339	202
1594,348	1,008	398587	203
1595,356	7,504	398839	1
16,012	4	4003	200
1602,86	0,992	400715	101
1603,852	4,016	400963	200
1607,868	4	401967	201
161,244	1,008	40311	203
1611,868	0,992	402967	202
1612,86	1,008	403215	203
1613,868	4,128	403467	1
1617,996	0,992	404499	101
1618,988	4,016	404747	200
162,252	4	40563	2
1623,004	3,984	405751	201
1626,988	0,992	406747	202
1627,98	1,024	406995	203
1629,004	3,632	407251	2
1632,636	0,992	408159	102
1633,628	4	408407	200
1637,628	4	409407	201
1641,628	1,008	410407	202
1642,636	1,008	410659	203
1643,644	12,208	410911	2
1655,852	0,992	413963	102
1656,844	4,016	414211	200
166,252	4,016	41563	200
1660,86	3,984	415215	201
1664,844	1,008	416211	202
1665,852	0,992	416463	203
1666,844	3,504	416711	1
1670,348	1,008	417587	101
1671,356	4,016	417839	200
1675,372	3,984	418843	201
1679,356	1,008	419839	202
1680,364	0,992	420091	203
1681,356	3,552	420339	2
1684,908	1,008	421227	102
1685,916	3,984	421479	200
1689,9	4,016	422475	201
1693,916	0,992	423479	202
1694,908	1,008	423727	203
1695,916	3,552	423979	1
1699,468	0,992	424867	101
170,268	4	42567	201
1700,46	4	425115	200
1704,46	4	426115	201
1708,46	1,008	427115	202
1709,468	1,008	427367	203
1710,476	3,568	427619	2
1714,044	0,992	428511	102
1715,036	4,016	428759	200
1719,052	4	429763	201
1723,052	0,992	430763	202
1724,044	1,008	431011	203
1725,052	4,24	431263	2
1729,292	0,992	432323	102
1730,284	4	432571	200
1734,284	4,016	433571	201
1738,3	0,992	434575	202
1739,292	1,008	434823	203
174,268	2,016	43567	202
1740,3	3,584	435075	1
1743,884	0,992	435971	101
1744,876	4	436219	200
1748,876	4,016	437219	201
1752,892	0,992	438223	202
1753,884	1,008	438471	203
1754,892	3,568	438723	1
1758,46	0,992	439615	101
1759,452	4	439863	200
176,284	0,992	44071	203
1763,452	4,016	440863	201
1767,468	0,992	441867	202
1768,46	1,008	442115	203
1769,468	3,584	442367	2
177,276	4,016	44319	1
1773,052	0,992	443263	102
1774,044	4	443511	200
1778,044	4	444511	201
