onset	duration	sample	value
1002,604	4,016	250651	200
1006,62	4	251655	201
101,148	1,008	25287	203
1010,62	2	252655	202
1012,62	1,024	253155	203
1013,644	3,984	253411	2
1017,628	4,016	254407	200
102,156	4	25539	2
1021,644	4	255411	201
1025,644	2	256411	202
1027,644	1,008	256911	203
1028,652	4,016	257163	2
1032,668	4	258167	200
1036,668	3,984	259167	201
1040,652	2,016	260163	202
1042,668	1,008	260667	203
1043,676	4,016	260919	1
1047,692	3,984	261923	200
1051,676	4	262919	201
1055,676	2,016	263919	202
1057,692	1,008	264423	203
1058,7	4,016	264675	2
106,156	4	26539	200
1062,716	4	265679	200
1066,716	4	266679	201
1070,716	2	267679	202
1072,716	1,008	268179	203
1073,724	4	268431	2
1077,724	4,016	269431	200
1081,74	4	270435	201
1085,74	2	271435	202
1087,74	1,024	271935	203
1088,764	3,984	272191	1
1092,748	4,016	273187	200
1096,764	4	274191	201
11,004	1,008	2751	203
110,156	4,016	27539	201
1100,764	2	275191	202
1102,764	1,008	275691	203
1103,772	4,016	275943	2
1107,788	3,984	276947	200
1111,772	4	277943	201
1115,772	2,016	278943	202
1117,788	1,008	279447	203
1118,796	4,016	279699	2
1122,812	4	280703	200
1126,812	4	281703	201
1130,812	2	282703	202
1132,812	1,008	283203	203
1133,82	4,016	283455	1
1137,836	4	284459	200
114,172	1,984	28543	202
1141,836	4	285459	201
1145,836	2	286459	202
1147,836	1,024	286959	203
1148,86	4	287215	2
1152,86	4	288215	200
1156,86	4	289215	201
116,156	1,008	29039	203
1160,86	2,016	290215	202
1162,876	0,992	290719	203
1163,868	4,016	290967	1
1167,884	4	291971	200
117,164	4,016	29291	1
1171,884	4	292971	201
1175,884	2	293971	202
1177,884	1,024	294471	203
1178,908	3,984	294727	1
1182,892	4,016	295723	200
1186,908	4	296727	201
1190,908	2	297727	202
1192,908	1,024	298227	203
1193,932	4	298483	1
1197,932	4,016	299483	200
12,012	4	3003	2
1201,948	4	300487	201
1205,948	2	301487	202
1207,948	1,008	301987	203
1208,956	4	302239	2
121,18	4	30295	200
1212,956	4	303239	200
1216,956	4	304239	201
1220,956	2,016	305239	202
1222,972	1,008	305743	203
1223,98	4,016	305995	1
1227,996	4	306999	200
1231,996	4	307999	201
1235,996	2,016	308999	202
1238,012	1,008	309503	203
1239,02	4,016	309755	1
1243,036	4	310759	200
1247,036	4	311759	201
125,18	4,016	31295	201
1251,036	2	312759	202
1253,036	1,008	313259	203
1254,044	4,016	313511	1
1258,06	4	314515	200
1262,06	4	315515	201
1266,06	2	316515	202
1268,06	1,008	317015	203
1269,068	4	317267	2
1273,068	4	318267	200
1277,068	4,016	319267	201
1281,084	2	320271	202
1283,084	1,008	320771	203
1284,092	4,016	321023	1
1288,108	4	322027	200
129,196	2	32299	202
1292,108	3,984	323027	201
1296,092	2	324023	202
1298,092	1,008	324523	203
1299,1	4,016	324775	2
1303,116	4	325779	200
1307,116	4	326779	201
131,196	0,992	32799	203
1311,116	2	327779	202
1313,116	1,024	328279	203
1314,14	4,016	328535	1
1318,156	4	329539	200
132,188	4,016	33047	1
1322,156	3,984	330539	201
1326,14	2,016	331535	202
1328,156	0,992	332039	203
1329,148	4,016	332287	2
1333,164	4	333291	200
1337,164	4	334291	201
1341,164	2,016	335291	202
1343,18	1,008	335795	203
1344,188	4	336047	2
1348,188	4	337047	200
1352,188	4,016	338047	201
1356,204	1,984	339051	202
1358,188	1,024	339547	203
1359,212	4	339803	1
136,204	4	34051	200
1363,212	8,976	340803	200
1372,188	4	343047	201
1376,188	1,008	344047	202
1377,196	1,008	344299	203
1378,204	3,584	344551	2
1381,788	0,992	345447	102
1382,78	4,016	345695	200
1386,796	3,984	346699	201
1390,78	1,008	347695	202
1391,788	1,008	347947	203
1392,796	3,664	348199	2
1396,46	1,008	349115	102
1397,468	3,984	349367	200
140,204	4	35051	201
1401,452	4	350363	201
1405,452	1,008	351363	202
1406,46	1,008	351615	203
1407,468	7,248	351867	2
1414,716	1,008	353679	102
1415,724	3,984	353931	200
1419,708	4	354927	201
1423,708	1,024	355927	202
1424,732	0,992	356183	203
1425,724	6,224	356431	1
1431,948	0,992	357987	101
1432,94	4,016	358235	200
1436,956	3,984	359239	201
144,204	2,016	36051	202
1440,94	1,008	360235	202
1441,948	0,992	360487	203
1442,94	6,016	360735	2
1448,956	0,992	362239	102
1449,948	4	362487	200
1453,948	4,016	363487	201
1457,964	0,992	364491	202
1458,956	1,008	364739	203
1459,964	5,808	364991	2
146,22	1,008	36555	203
1465,772	1,008	366443	102
1466,78	4	366695	200
147,228	4	36807	1
1470,78	4	367695	201
1474,78	0,992	368695	202
1475,772	1,008	368943	203
1476,78	6,496	369195	2
1483,276	1,008	370819	102
1484,284	4	371071	200
1488,284	4	372071	201
1492,284	0,992	373071	202
1493,276	1,024	373319	203
1494,3	14,976	373575	1
1509,276	4,016	377319	200
151,228	4	37807	200
1513,292	4	378323	201
1517,292	0,992	379323	202
1518,284	1,008	379571	203
1519,292	15,008	379823	1
1534,3	4	383575	200
1538,3	4	384575	201
1542,3	0,992	385575	202
1543,292	1,008	385823	203
1544,3	6,352	386075	2
155,228	4	38807	201
1550,652	1,008	387663	102
1551,66	4	387915	200
1555,66	4	388915	201
1559,66	0,992	389915	202
1560,652	1,024	390163	203
1561,676	5,168	390419	2
1566,844	1,008	391711	102
1567,852	4	391963	200
1571,852	4	392963	201
1575,852	0,992	393963	202
1576,844	0,992	394211	203
1577,836	3,68	394459	1
1581,516	0,992	395379	101
1582,508	4,016	395627	200
1586,524	4	396631	201
159,228	2,016	39807	202
1590,524	0,992	397631	202
1591,516	0,992	397879	203
1592,508	14	398127	2
16,012	4,016	4003	200
1606,508	1,008	401627	102
1607,516	4	401879	200
161,244	0,992	40311	203
1611,516	4	402879	201
1615,516	1,008	403879	202
1616,524	0,992	404131	203
1617,516	8,128	404379	2
162,236	4,016	40559	2
1625,644	0,992	406411	102
1626,636	4,016	406659	200
1630,652	4	407663	201
1634,652	0,992	408663	202
1635,644	0,992	408911	203
1636,636	3,536	409159	2
